epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.782,3.7035,3.83057,2.00698,0.32856,0.23793,0.21688,0.1228,3.46505,2.7664,1.91771,0.0033251,0.0033251,0.0033251
2,196.006,3.61807,2.87004,1.93274,0.35677,0.27282,0.25297,0.14294,3.44908,2.64678,1.89773,0.00659252,0.00659252,0.00659252
3,266.086,3.71958,2.86002,1.94086,0.32267,0.26955,0.23264,0.13106,3.57879,2.84392,1.91422,0.00979393,0.00979393,0.00979393
4,335.285,3.71247,2.8348,1.94479,0.34546,0.28244,0.2582,0.14542,3.46999,2.63264,1.90705,0.009703,0.009703,0.009703
5,404.111,3.63044,2.74488,1.92746,0.36924,0.28574,0.26339,0.14724,3.53027,2.62134,1.90988,0.009604,0.009604,0.009604
6,473.092,3.58715,2.67022,1.91278,0.39034,0.30708,0.29123,0.16544,3.3849,2.55171,1.88572,0.009505,0.009505,0.009505
7,542.024,3.53074,2.60468,1.90478,0.40271,0.30624,0.29479,0.16958,3.36338,2.50501,1.87727,0.009406,0.009406,0.009406
8,611.452,3.47435,2.55032,1.89114,0.41927,0.313,0.29973,0.16883,3.339,2.47492,1.87089,0.009307,0.009307,0.009307
9,680.445,3.44193,2.51303,1.88471,0.41455,0.32426,0.3177,0.18579,3.25833,2.39067,1.8554,0.009208,0.009208,0.009208
10,749.575,3.41833,2.46707,1.87303,0.41037,0.3219,0.31052,0.17733,3.25571,2.38202,1.85987,0.009109,0.009109,0.009109
11,818.469,3.36344,2.41201,1.86794,0.42048,0.33012,0.32332,0.18553,3.24368,2.37217,1.8538,0.00901,0.00901,0.00901
12,887.936,3.35855,2.41061,1.86555,0.43323,0.32618,0.32411,0.18706,3.23021,2.35434,1.84798,0.008911,0.008911,0.008911
13,956.187,3.32754,2.36905,1.86093,0.42246,0.3333,0.32235,0.18724,3.19477,2.3426,1.84283,0.008812,0.008812,0.008812
14,1024.69,3.30331,2.3578,1.85172,0.42991,0.34129,0.33057,0.19266,3.20598,2.34158,1.84033,0.008713,0.008713,0.008713
15,1093.41,3.32309,2.3411,1.85138,0.44504,0.34043,0.3329,0.19334,3.17402,2.30172,1.83966,0.008614,0.008614,0.008614
16,1162.5,3.28583,2.30874,1.8493,0.44033,0.33916,0.33666,0.1972,3.18219,2.27955,1.8402,0.008515,0.008515,0.008515
17,1230.99,3.27712,2.30311,1.8438,0.45363,0.34886,0.34659,0.20315,3.1703,2.26827,1.83611,0.008416,0.008416,0.008416
18,1299.88,3.27023,2.28262,1.84211,0.45357,0.34316,0.34342,0.20076,3.16635,2.26449,1.8306,0.008317,0.008317,0.008317
19,1368.64,3.22703,2.25468,1.84024,0.45396,0.33976,0.34319,0.20104,3.15878,2.26929,1.83524,0.008218,0.008218,0.008218
20,1437.76,3.21737,2.24052,1.83445,0.45555,0.34585,0.3485,0.20342,3.13827,2.24824,1.82495,0.008119,0.008119,0.008119
21,1506.69,3.21047,2.23415,1.83181,0.44221,0.35812,0.34926,0.20239,3.11959,2.24026,1.82354,0.00802,0.00802,0.00802
