epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2417.75,1.25121,0.85034,0.89022,0.50998,0.37332,0.39162,0.2339,1.24459,0.8969,0.89154,0.005842,0.005842,0.005842
44,2473.36,1.2403,0.83699,0.88877,0.48969,0.38841,0.39092,0.23606,1.24225,0.89414,0.88841,0.005743,0.005743,0.005743
45,2529.1,1.23415,0.83168,0.88832,0.51126,0.38043,0.39511,0.23606,1.2465,0.89895,0.89025,0.005644,0.005644,0.005644
46,2585.07,1.24358,0.83349,0.88996,0.50508,0.38647,0.39587,0.23529,1.24439,0.89428,0.89021,0.005545,0.005545,0.005545
47,2640.65,1.2327,0.82841,0.88828,0.52177,0.37783,0.39714,0.23955,1.23669,0.89177,0.88802,0.005446,0.005446,0.005446
48,2697.25,1.2378,0.83164,0.88816,0.5158,0.37839,0.39403,0.23591,1.23788,0.89059,0.88875,0.005347,0.005347,0.005347
49,2752.86,1.22829,0.82242,0.88615,0.50517,0.38452,0.39491,0.23674,1.23671,0.89285,0.88841,0.005248,0.005248,0.005248
50,2808.61,1.22192,0.82009,0.88645,0.51644,0.38055,0.40032,0.23975,1.23501,0.88887,0.88807,0.005149,0.005149,0.005149
51,2864.21,1.22345,0.8201,0.88569,0.51372,0.38208,0.39678,0.23735,1.23731,0.88964,0.88757,0.00505,0.00505,0.00505
52,2920.11,1.22023,0.81121,0.88542,0.51144,0.37755,0.39481,0.23825,1.23164,0.88927,0.88724,0.004951,0.004951,0.004951
53,2976.24,1.22153,0.81293,0.88564,0.50107,0.38263,0.39383,0.23545,1.23686,0.88801,0.8882,0.004852,0.004852,0.004852
54,3031.97,1.21644,0.80945,0.88299,0.51194,0.38943,0.39976,0.23996,1.23269,0.88513,0.88711,0.004753,0.004753,0.004753
55,3087.82,1.20896,0.80088,0.88344,0.50726,0.3825,0.39637,0.238,1.2377,0.88916,0.88848,0.004654,0.004654,0.004654
56,3143.75,1.21148,0.79705,0.88147,0.5191,0.37918,0.39803,0.23869,1.23162,0.88598,0.88792,0.004555,0.004555,0.004555
57,3199.98,1.20383,0.79427,0.88056,0.51353,0.3771,0.39363,0.23647,1.23379,0.8874,0.88707,0.004456,0.004456,0.004456
58,3255.56,1.19904,0.78668,0.88097,0.51021,0.38121,0.39806,0.23875,1.23609,0.88989,0.88714,0.004357,0.004357,0.004357
59,3310.78,1.20438,0.78891,0.88193,0.52745,0.38008,0.40189,0.24166,1.234,0.88334,0.88732,0.004258,0.004258,0.004258
60,3366.78,1.20302,0.79061,0.88079,0.51884,0.38235,0.39929,0.23999,1.22814,0.88287,0.88673,0.004159,0.004159,0.004159
61,3422.56,1.1956,0.78303,0.88019,0.51298,0.39084,0.40204,0.24192,1.23255,0.88173,0.88684,0.00406,0.00406,0.00406
62,3479.07,1.1957,0.78313,0.87993,0.50534,0.38881,0.39992,0.24024,1.22934,0.88363,0.88606,0.003961,0.003961,0.003961
63,3534.87,1.19147,0.77736,0.87966,0.50925,0.3909,0.40076,0.2407,1.22918,0.88098,0.88603,0.003862,0.003862,0.003862
64,3590.48,1.19115,0.77511,0.87945,0.51941,0.38521,0.40107,0.24024,1.2307,0.88196,0.88638,0.003763,0.003763,0.003763
65,3645.98,1.1896,0.77085,0.87763,0.51161,0.3859,0.39958,0.2404,1.22584,0.8847,0.88442,0.003664,0.003664,0.003664
66,3701.63,1.19012,0.76953,0.87832,0.49552,0.39077,0.39918,0.24018,1.22588,0.8845,0.88619,0.003565,0.003565,0.003565
67,3757.9,1.18799,0.76577,0.87778,0.52576,0.38351,0.40007,0.24143,1.22724,0.88457,0.886,0.003466,0.003466,0.003466
68,3813.52,1.18258,0.76005,0.87599,0.51151,0.39018,0.4029,0.24342,1.22349,0.88,0.88601,0.003367,0.003367,0.003367
69,3869.17,1.1709,0.75525,0.87573,0.51911,0.38339,0.40168,0.24166,1.22467,0.88199,0.88516,0.003268,0.003268,0.003268
70,3924.82,1.1737,0.75137,0.87626,0.5142,0.38362,0.40203,0.24308,1.22563,0.87866,0.88544,0.003169,0.003169,0.003169
71,3980.58,1.17623,0.75341,0.87476,0.50354,0.39127,0.40344,0.2438,1.22288,0.87842,0.8847,0.00307,0.00307,0.00307
