epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,3581.12,1.28546,0.8645,0.91988,0.49616,0.36707,0.37828,0.2245,1.26121,0.89305,0.90725,0.006337,0.006337,0.006337
39,3674.55,1.27833,0.85303,0.91793,0.50617,0.36687,0.38432,0.22871,1.25715,0.88078,0.90825,0.006238,0.006238,0.006238
40,3768.64,1.27459,0.85181,0.91903,0.49957,0.36739,0.38499,0.22854,1.25308,0.87861,0.90638,0.006139,0.006139,0.006139
41,3862.14,1.26551,0.84138,0.91639,0.50731,0.36957,0.38623,0.22955,1.25383,0.87887,0.90716,0.00604,0.00604,0.00604
42,3955.77,1.26641,0.8448,0.91827,0.49142,0.37779,0.3862,0.22882,1.25087,0.87368,0.90778,0.005941,0.005941,0.005941
43,4049.51,1.2698,0.84392,0.9151,0.49691,0.37046,0.38334,0.22685,1.24778,0.87843,0.90555,0.005842,0.005842,0.005842
44,4142.95,1.26098,0.83456,0.91376,0.49517,0.3792,0.39029,0.23215,1.2504,0.86967,0.90615,0.005743,0.005743,0.005743
45,4236.45,1.25471,0.82681,0.91297,0.49607,0.37899,0.38743,0.22965,1.2401,0.87242,0.90409,0.005644,0.005644,0.005644
46,4330.68,1.26468,0.83149,0.91655,0.50889,0.37637,0.39104,0.23268,1.24375,0.87034,0.90328,0.005545,0.005545,0.005545
47,4424.04,1.25292,0.82513,0.91342,0.50722,0.38177,0.39395,0.23507,1.24363,0.87163,0.90446,0.005446,0.005446,0.005446
48,4517.41,1.25668,0.82775,0.91229,0.50837,0.38237,0.39358,0.23382,1.23842,0.86014,0.90292,0.005347,0.005347,0.005347
49,4610.69,1.24763,0.81976,0.91136,0.50707,0.3765,0.39103,0.23294,1.2427,0.86644,0.90491,0.005248,0.005248,0.005248
50,4704.31,1.2422,0.8174,0.91158,0.49637,0.37869,0.39423,0.23514,1.24109,0.86318,0.90282,0.005149,0.005149,0.005149
51,4797.37,1.24357,0.81875,0.91047,0.50277,0.38376,0.3949,0.23451,1.23836,0.86118,0.90212,0.00505,0.00505,0.00505
52,4891.18,1.24213,0.81138,0.91024,0.51539,0.37631,0.39772,0.2365,1.23729,0.85999,0.90211,0.004951,0.004951,0.004951
53,4984.87,1.24216,0.8123,0.91139,0.51113,0.38418,0.39663,0.23594,1.23789,0.86062,0.9038,0.004852,0.004852,0.004852
54,5078.64,1.23911,0.80935,0.90799,0.51438,0.38522,0.39837,0.23819,1.23358,0.85732,0.9022,0.004753,0.004753,0.004753
55,5172.81,1.23296,0.8006,0.90856,0.51683,0.37693,0.39664,0.23603,1.23573,0.86081,0.90374,0.004654,0.004654,0.004654
56,5266.42,1.23477,0.79707,0.90602,0.52458,0.37853,0.3973,0.23672,1.23318,0.85655,0.90309,0.004555,0.004555,0.004555
57,5359.55,1.22575,0.79596,0.90523,0.50329,0.38362,0.39754,0.23718,1.23561,0.85365,0.90234,0.004456,0.004456,0.004456
58,5453.79,1.2211,0.78753,0.90477,0.51148,0.39198,0.40039,0.23875,1.23249,0.85366,0.90138,0.004357,0.004357,0.004357
59,5547.09,1.22744,0.78983,0.90754,0.52146,0.38791,0.40402,0.24062,1.23139,0.85466,0.90092,0.004258,0.004258,0.004258
60,5641.17,1.22599,0.79294,0.90548,0.50894,0.39679,0.40186,0.24012,1.23046,0.85106,0.90122,0.004159,0.004159,0.004159
61,5735.25,1.21855,0.78355,0.90501,0.52406,0.38636,0.40296,0.24175,1.2258,0.85144,0.90004,0.00406,0.00406,0.00406
62,5828.66,1.2208,0.78753,0.90461,0.51685,0.3895,0.40059,0.23959,1.22835,0.85235,0.90085,0.003961,0.003961,0.003961
63,5921.93,1.21579,0.78227,0.90448,0.51452,0.39423,0.40125,0.2386,1.22879,0.85298,0.90129,0.003862,0.003862,0.003862
64,6016.27,1.2145,0.77741,0.90367,0.52793,0.3865,0.40134,0.24093,1.22782,0.85011,0.89972,0.003763,0.003763,0.003763
65,6109.72,1.21413,0.77656,0.90237,0.51551,0.39197,0.40298,0.24129,1.22653,0.84741,0.8997,0.003664,0.003664,0.003664
66,6203.52,1.21335,0.77406,0.90312,0.53075,0.38892,0.40473,0.24219,1.22399,0.84704,0.90008,0.003565,0.003565,0.003565
67,6297.8,1.21198,0.77111,0.903,0.51654,0.39504,0.40333,0.24174,1.22137,0.84831,0.89898,0.003466,0.003466,0.003466
68,6391.18,1.20872,0.7657,0.90076,0.51348,0.3948,0.40439,0.24187,1.2269,0.84613,0.9013,0.003367,0.003367,0.003367
69,6484.44,1.19608,0.75857,0.90136,0.52453,0.39196,0.40655,0.24265,1.2225,0.84662,0.90058,0.003268,0.003268,0.003268
70,6578.36,1.19946,0.75769,0.90077,0.51521,0.39368,0.40475,0.24202,1.22287,0.84598,0.89922,0.003169,0.003169,0.003169
71,6671.85,1.20095,0.75904,0.89923,0.51653,0.3936,0.40675,0.24395,1.21893,0.84601,0.89816,0.00307,0.00307,0.00307
72,6765.44,1.2036,0.76101,0.90015,0.52904,0.38896,0.40634,0.24339,1.21854,0.84543,0.89814,0.002971,0.002971,0.002971
73,6859.25,1.1978,0.75188,0.89866,0.51846,0.39244,0.40561,0.24331,1.21996,0.84644,0.89927,0.002872,0.002872,0.002872
74,6952.8,1.20574,0.75965,0.8976,0.51418,0.39002,0.40551,0.24378,1.22149,0.8447,0.89943,0.002773,0.002773,0.002773
75,7046.82,1.1826,0.74046,0.89667,0.51573,0.38819,0.40206,0.24253,1.22209,0.84513,0.89931,0.002674,0.002674,0.002674
76,7140.24,1.18929,0.74261,0.89916,0.52406,0.38823,0.40455,0.24322,1.21828,0.84239,0.89874,0.002575,0.002575,0.002575
77,7233.87,1.19008,0.7461,0.89546,0.51624,0.38934,0.4042,0.24248,1.21818,0.84533,0.89805,0.002476,0.002476,0.002476
78,7327.89,1.18759,0.74119,0.89445,0.52875,0.38586,0.40719,0.24538,1.2175,0.84255,0.898,0.002377,0.002377,0.002377
79,7421.55,1.17639,0.73164,0.89486,0.51536,0.39454,0.40677,0.24372,1.21934,0.84428,0.89861,0.002278,0.002278,0.002278
80,7515.39,1.17992,0.73581,0.89449,0.52659,0.3905,0.40617,0.24427,1.21964,0.84633,0.89895,0.002179,0.002179,0.002179
81,7608.62,1.18024,0.73333,0.8949,0.53365,0.39341,0.40765,0.24428,1.21904,0.84385,0.89815,0.00208,0.00208,0.00208
82,7701.71,1.17783,0.72757,0.89317,0.52334,0.39134,0.40621,0.24338,1.21898,0.84601,0.89826,0.001981,0.001981,0.001981
83,7795.48,1.17342,0.72762,0.89327,0.5256,0.3914,0.40756,0.24398,1.22084,0.84695,0.89845,0.001882,0.001882,0.001882
84,7889.45,1.17014,0.72254,0.89364,0.52803,0.38802,0.40655,0.24341,1.21761,0.84585,0.89785,0.001783,0.001783,0.001783
85,7983.1,1.16987,0.72203,0.8923,0.52453,0.39315,0.40701,0.24405,1.21875,0.84389,0.89806,0.001684,0.001684,0.001684
86,8076.69,1.16884,0.71817,0.89183,0.52096,0.39333,0.40672,0.2442,1.21722,0.84499,0.89727,0.001585,0.001585,0.001585
87,8170.31,1.16367,0.71358,0.89051,0.51282,0.39824,0.40752,0.24434,1.21555,0.84406,0.89721,0.001486,0.001486,0.001486
88,8263.54,1.15583,0.70596,0.88928,0.52129,0.39551,0.40819,0.24505,1.21691,0.84268,0.89732,0.001387,0.001387,0.001387
89,8356.8,1.16169,0.71104,0.88956,0.52747,0.38995,0.40743,0.24445,1.2177,0.84409,0.89778,0.001288,0.001288,0.001288
90,8450.23,1.16347,0.71299,0.89043,0.52334,0.39679,0.40807,0.24459,1.21749,0.84473,0.89771,0.001189,0.001189,0.001189
91,8544.84,1.1466,0.69522,0.89427,0.51875,0.39216,0.40496,0.24302,1.2199,0.85006,0.89828,0.00109,0.00109,0.00109
92,8637.22,1.1358,0.67781,0.89005,0.53125,0.38588,0.40324,0.24251,1.22186,0.8515,0.89851,0.000991,0.000991,0.000991
93,8729.46,1.13198,0.67611,0.88922,0.52661,0.38915,0.40275,0.24177,1.22164,0.85156,0.89848,0.000892,0.000892,0.000892
94,8821.62,1.12751,0.67064,0.89004,0.5319,0.38422,0.40258,0.24126,1.22396,0.85292,0.89833,0.000793,0.000793,0.000793
95,8914.2,1.12164,0.66521,0.88851,0.52834,0.38768,0.40303,0.24118,1.2259,0.85138,0.89902,0.000694,0.000694,0.000694
96,9007,1.11891,0.66041,0.88663,0.5233,0.38943,0.40206,0.24069,1.22662,0.85292,0.89957,0.000595,0.000595,0.000595
97,9098.79,1.11661,0.65681,0.88685,0.51878,0.39019,0.40118,0.24006,1.22564,0.85525,0.89919,0.000496,0.000496,0.000496
98,9191.33,1.11342,0.6544,0.88418,0.51528,0.39244,0.40134,0.24008,1.22543,0.85604,0.89899,0.000397,0.000397,0.000397
99,9284.3,1.11606,0.65786,0.88562,0.51557,0.39222,0.40149,0.23958,1.22473,0.85654,0.89913,0.000298,0.000298,0.000298
100,9376.19,1.11294,0.65267,0.88545,0.51987,0.38932,0.40076,0.23951,1.22536,0.85657,0.89933,0.000199,0.000199,0.000199
