epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.081,1.57061,1.68759,1.04093,0.31574,0.23885,0.21203,0.11965,1.45632,1.14338,0.97371,0.0033251,0.0033251,0.0033251
2,212.049,1.53373,1.2205,0.99488,0.34646,0.27891,0.25439,0.14427,1.44557,1.10889,0.96133,0.00659252,0.00659252,0.00659252
3,306.93,1.56877,1.20934,0.99446,0.34562,0.26833,0.25211,0.13991,1.49717,1.14773,0.96914,0.00979393,0.00979393,0.00979393
4,400.511,1.56622,1.18294,0.99429,0.37482,0.27104,0.26119,0.14777,1.45321,1.11802,0.96592,0.009703,0.009703,0.009703
5,494.148,1.51997,1.13823,0.98522,0.37424,0.28229,0.27235,0.15511,1.42919,1.06554,0.95232,0.009604,0.009604,0.009604
6,588.07,1.497,1.10442,0.97668,0.39722,0.30594,0.2979,0.17157,1.41379,1.05866,0.94925,0.009505,0.009505,0.009505
7,681.593,1.47441,1.08244,0.9741,0.40422,0.30851,0.29444,0.17001,1.38621,1.04159,0.94702,0.009406,0.009406,0.009406
8,775.045,1.45386,1.05952,0.96784,0.41023,0.31321,0.30366,0.17325,1.39226,1.02684,0.94498,0.009307,0.009307,0.009307
9,868.383,1.44403,1.04811,0.96289,0.42526,0.31471,0.31597,0.18362,1.3599,1.00567,0.93669,0.009208,0.009208,0.009208
10,961.672,1.43497,1.0352,0.95799,0.42597,0.31953,0.31851,0.18405,1.35049,0.9998,0.93467,0.009109,0.009109,0.009109
11,1054.89,1.40621,1.00482,0.95433,0.44388,0.31488,0.318,0.1812,1.3549,1.00139,0.93291,0.00901,0.00901,0.00901
12,1148.43,1.40777,1.00912,0.95463,0.4401,0.32682,0.32483,0.18778,1.35258,0.98249,0.93076,0.008911,0.008911,0.008911
13,1242.11,1.39424,0.98933,0.9508,0.4335,0.32797,0.32571,0.18693,1.3393,0.98864,0.92888,0.008812,0.008812,0.008812
14,1335.74,1.38034,0.98466,0.946,0.43861,0.33561,0.33269,0.19244,1.34705,0.98562,0.93094,0.008713,0.008713,0.008713
15,1430.08,1.3926,0.98137,0.94661,0.47927,0.33065,0.34426,0.20173,1.31782,0.95721,0.92779,0.008614,0.008614,0.008614
16,1523.64,1.37825,0.96844,0.94564,0.45013,0.33473,0.34059,0.19884,1.32519,0.95531,0.92396,0.008515,0.008515,0.008515
17,1617.36,1.37159,0.96651,0.94278,0.45406,0.34504,0.34771,0.20236,1.31844,0.94673,0.92696,0.008416,0.008416,0.008416
18,1710.68,1.37031,0.9598,0.94321,0.48128,0.33644,0.34841,0.20448,1.31882,0.94383,0.92458,0.008317,0.008317,0.008317
19,1804.09,1.34887,0.94285,0.93954,0.46097,0.3375,0.34079,0.2002,1.31271,0.9542,0.9214,0.008218,0.008218,0.008218
20,1897.95,1.34493,0.93641,0.93828,0.47732,0.34132,0.35395,0.20845,1.30238,0.93414,0.9203,0.008119,0.008119,0.008119
21,1991.22,1.34276,0.93182,0.9363,0.48029,0.34408,0.35255,0.20663,1.30103,0.93769,0.92137,0.00802,0.00802,0.00802
22,2084.55,1.3339,0.92714,0.93545,0.4719,0.3484,0.35788,0.21093,1.29898,0.92631,0.91964,0.007921,0.007921,0.007921
23,2178.3,1.33293,0.92068,0.93682,0.47974,0.34715,0.35807,0.21116,1.29287,0.92289,0.91817,0.007822,0.007822,0.007822
24,2271.72,1.32101,0.91079,0.93342,0.48111,0.34863,0.35888,0.21217,1.28454,0.9188,0.91641,0.007723,0.007723,0.007723
25,2365.18,1.31894,0.90522,0.9314,0.49762,0.34675,0.35975,0.21078,1.29949,0.92376,0.91974,0.007624,0.007624,0.007624
26,2458.89,1.32642,0.91005,0.93333,0.48124,0.3525,0.36475,0.21415,1.28727,0.9224,0.91787,0.007525,0.007525,0.007525
27,2551.99,1.31472,0.89964,0.92719,0.48074,0.35644,0.36602,0.21367,1.288,0.91274,0.91687,0.007426,0.007426,0.007426
28,2645.25,1.31424,0.89811,0.92745,0.49543,0.35283,0.36921,0.21796,1.27664,0.90179,0.915,0.007327,0.007327,0.007327
29,2739.01,1.30812,0.89384,0.9265,0.48539,0.35734,0.36911,0.21879,1.27955,0.91137,0.91473,0.007228,0.007228,0.007228
30,2832.51,1.30631,0.88744,0.92621,0.48914,0.3583,0.36887,0.2173,1.27603,0.90995,0.91379,0.007129,0.007129,0.007129
31,2926.05,1.30068,0.88747,0.92676,0.50892,0.34834,0.37001,0.21953,1.27422,0.90397,0.91276,0.00703,0.00703,0.00703
32,3020.18,1.30097,0.88019,0.9243,0.50181,0.36062,0.37762,0.22239,1.27537,0.89752,0.91178,0.006931,0.006931,0.006931
33,3113.24,1.29713,0.87415,0.92458,0.49651,0.36018,0.37687,0.22278,1.27158,0.89571,0.91337,0.006832,0.006832,0.006832
34,3207.28,1.29305,0.87258,0.92049,0.48429,0.36999,0.38257,0.22574,1.26903,0.89147,0.91138,0.006733,0.006733,0.006733
35,3300.64,1.28748,0.86764,0.92081,0.48287,0.36685,0.37538,0.22044,1.27045,0.9007,0.91139,0.006634,0.006634,0.006634
36,3393.89,1.28385,0.86199,0.92119,0.50253,0.35824,0.37491,0.22248,1.26139,0.8945,0.90849,0.006535,0.006535,0.006535
37,3487.45,1.27813,0.85807,0.91982,0.50141,0.35877,0.37797,0.22473,1.26329,0.89284,0.9079,0.006436,0.006436,0.006436
